선수명,ID,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,GPA
류지혁,62234,KIA,0.381,25,51,42,13,16,3,0,1,22,5,1,2,1,0,5,6,3,0.524,0.440,0.964,4,0.200,0.000,4,13,9,1.44,0,0.17,3.71,0.143,8.8,0.329
최형우,72443,KIA,0.354,140,600,522,93,185,37,1,28,308,115,0,3,70,5,5,101,9,0.590,0.433,1.023,55,0.374,1.000,66,111,128,0.87,18,0.69,4.13,0.236,119.2,0.342
김주찬,70410,KIA,0.333,7,18,18,3,6,0,0,1,9,2,0,0,0,0,0,2,2,0.500,0.333,0.833,1,0.143,0.000,1,4,6,0.67,0,0.00,3.11,0.167,1.8,0.275
김선빈,78603,KIA,0.330,85,351,303,42,100,19,0,1,122,37,1,5,40,0,2,43,12,0.403,0.406,0.809,22,0.345,0.200,20,100,65,1.54,7,0.93,4.04,0.073,48.1,0.283
이창진,64560,KIA,0.330,22,99,88,19,29,8,1,0,39,7,0,0,10,0,1,17,2,0.443,0.404,0.847,7,0.294,0.000,9,17,25,0.68,0,0.59,3.85,0.114,14.0,0.293
최원준,66606,KIA,0.326,123,412,359,72,117,16,6,2,151,35,9,5,33,0,6,35,1,0.421,0.387,0.808,30,0.364,0.600,24,100,112,0.89,6,0.94,3.71,0.095,61.7,0.279
터커,69652,KIA,0.306,142,631,542,100,166,40,0,32,302,113,0,4,76,3,9,67,12,0.557,0.398,0.955,44,0.300,0.000,72,130,183,0.71,10,1.13,3.87,0.251,112.5,0.318
나지완,78629,KIA,0.291,137,556,468,73,136,19,1,17,208,92,0,6,64,1,18,114,6,0.444,0.392,0.836,32,0.338,0.250,37,84,140,0.60,7,0.56,4.01,0.154,85.7,0.287
나주환,73209,KIA,0.279,64,222,204,21,57,5,0,6,80,26,4,1,12,0,1,44,6,0.392,0.321,0.713,13,0.280,0.000,11,41,63,0.65,2,0.27,3.98,0.113,24.4,0.242
황대인,65610,KIA,0.276,63,138,116,14,32,4,0,4,48,16,0,1,21,0,0,29,5,0.414,0.384,0.798,7,0.258,0.444,8,26,30,0.87,1,0.72,4.22,0.138,18.5,0.276
김민식,62864,KIA,0.251,69,238,211,22,53,6,1,2,67,21,6,2,17,0,2,28,3,0.318,0.310,0.628,14,0.245,0.462,9,56,76,0.74,1,0.61,3.80,0.066,22.1,0.219
홍종표,50600,KIA,0.250,40,88,80,7,20,3,0,0,23,7,3,1,4,0,0,13,1,0.288,0.282,0.570,4,0.115,0.000,3,28,20,1.40,0,0.31,3.36,0.038,6.0,0.199
유민상,62265,KIA,0.246,126,456,391,38,96,23,0,8,143,65,2,4,53,1,6,80,14,0.366,0.341,0.707,15,0.308,0.273,31,108,111,0.97,7,0.66,3.99,0.120,49.7,0.245
황윤호,62908,KIA,0.243,25,73,70,5,17,3,0,0,20,5,0,0,3,0,0,10,3,0.286,0.274,0.560,2,0.143,0.000,3,19,24,0.79,0,0.30,3.49,0.043,4.6,0.195
오선우,69636,KIA,0.239,59,73,67,11,16,0,0,4,28,14,0,0,3,0,3,26,2,0.418,0.301,0.719,2,0.286,0.240,4,16,9,1.78,2,0.12,3.96,0.179,8.3,0.240
김태진,64984,KIA,0.236,82,280,263,28,62,5,1,1,72,23,2,1,13,0,1,45,2,0.274,0.273,0.547,14,0.284,0.250,7,67,90,0.74,2,0.29,3.83,0.038,19.6,0.191
김호령,65653,KIA,0.232,89,159,138,36,32,5,2,4,53,16,3,1,14,0,3,55,2,0.384,0.314,0.698,7,0.241,0.500,11,30,22,1.36,2,0.25,4.31,0.152,17.1,0.237
고장혁,63636,KIA,0.231,7,13,13,0,3,0,0,0,3,0,0,0,0,0,0,5,0,0.231,0.231,0.462,0,0.333,0.000,0,4,1,4.00,0,0.00,4.00,0.000,0.6,0.162
이진영,66657,KIA,0.227,32,27,22,4,5,1,0,0,6,5,0,0,5,0,0,9,1,0.273,0.370,0.643,1,0.300,0.167,1,8,0,-,0,0.56,4.52,0.045,2.6,0.235
한승택,63722,KIA,0.226,83,262,226,22,51,6,0,9,84,29,9,0,21,0,6,58,7,0.372,0.308,0.680,11,0.222,0.000,15,57,60,0.95,1,0.36,4.15,0.146,26.0,0.232
박찬호,64646,KIA,0.223,141,531,480,63,107,16,0,3,132,36,12,3,36,0,0,87,14,0.275,0.276,0.551,30,0.185,0.000,19,153,136,1.13,1,0.41,3.93,0.052,34.4,0.193
백용환,78643,KIA,0.220,52,107,91,12,20,4,0,5,39,10,1,0,15,0,0,29,2,0.429,0.330,0.759,4,0.200,0.133,9,18,24,0.75,0,0.52,4.03,0.209,13.4,0.256
이우성,63260,KIA,0.203,48,67,59,5,12,1,0,0,13,3,0,0,6,0,2,11,2,0.220,0.299,0.519,1,0.125,0.267,1,18,18,1.00,1,0.55,3.55,0.017,4.1,0.190
최정용,65464,KIA,0.196,38,59,56,5,11,1,0,1,15,5,1,0,2,0,0,15,0,0.268,0.224,0.492,2,0.182,0.143,2,11,19,0.58,1,0.13,3.83,0.071,3.2,0.168
김규성,66614,KIA,0.178,103,182,157,21,28,2,1,3,41,11,11,0,13,0,1,40,1,0.261,0.246,0.507,5,0.194,0.000,6,28,61,0.46,2,0.33,3.98,0.083,10.7,0.176
문선재,79113,KIA,0.167,15,6,6,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0.167,0.167,0.334,0,0.000,0.000,0,0,3,0.00,0,0.00,3.50,0.000,0.0,0.117
장영석,79334,KIA,0.129,11,37,31,1,4,0,0,0,4,2,0,1,4,0,1,7,3,0.129,0.243,0.372,0,0.125,0.000,0,10,11,0.91,1,0.57,3.24,0.000,0.5,0.142
최정민,62893,KIA,0.111,24,11,9,12,1,0,0,0,1,2,0,0,2,0,0,1,0,0.111,0.273,0.384,0,0.250,0.000,0,7,0,-,0,2.00,2.82,0.000,0.6,0.151
김영환,63448,KIA,0.000,14,18,16,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0.000,0.059,0.059,0,0.000,0.000,0,4,7,0.57,0,0.20,4.00,0.000,-1.2,0.027
