ID,선수명,데뷔년도,연도,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,OPS,멀티히트,득점권타율,대타타율,장타,땅볼,뜬공,결승타,투구수/타석,순수장타율,추정득점,GPA,경기(주루),도루시도(주루),도루허용(주루),도루실패(주루),도루성공률(주루),주루사(주루),견제사(주루),경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),포일(수비),도루허용(수비),도루실패(수비),수비율(수비),도루저지율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적타석,포지션 엔트로피,출생연도,출생월,출생일,나이,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,포지션(수비)_1루수,포지션(수비)_2루수,포지션(수비)_3루수,포지션(수비)_수비기록없음,포지션(수비)_우익수,포지션(수비)_유격수,포지션(수비)_좌익수,포지션(수비)_중견수,포지션(수비)_포수,연봉,1차FA여부,2차FA여부,3차FA여부,5년평균타율,5년평균경기,5년평균타석,5년평균타수,5년평균득점,5년평균안타,5년평균2루타,5년평균3루타,5년평균홈런,5년평균루타,5년평균타점,5년평균희생번트,5년평균희생플라이,5년평균볼넷,5년평균고의사구,5년평균사구,5년평균삼진,5년평균병살타,5년평균장타율,5년평균출루율,5년평균OPS,5년평균멀티히트,5년평균득점권타율,5년평균대타타율,5년평균장타,5년평균땅볼,5년평균뜬공,5년평균결승타,5년평균투구수/타석,5년평균순수장타율,5년평균추정득점,5년평균GPA,5년평균경기(주루),5년평균도루시도(주루),5년평균도루허용(주루),5년평균도루실패(주루),5년평균도루성공률(주루),5년평균주루사(주루),5년평균견제사(주루),5년평균경기(수비),5년평균선발경기(수비),5년평균수비이닝(수비),5년평균실책(수비),5년평균견제사(수비),5년평균자살(수비),5년평균보살(수비),5년평균병살(수비),5년평균포일(수비),5년평균도루허용(수비),5년평균도루실패(수비),5년평균수비율(수비),5년평균도루저지율(수비),5년평균WAR,5년평균뉴스개수(연도별정규화),5년평균수상횟수,5년평균포지션 엔트로피,5년평균연봉
70224,강봉규,1996,2002,0.25,93,182,160,30,40,6,1,5,63,25,3,1,16,1,2,43,4,0.394,0.324,0.718,9,0.35,0.281,12,36,42,0,4.21,0.144,21.2,0.244,93,7,6,1,85.7,0,0,66,35,334.3333333333333,1,0,70,3,1,0,0,0,0.9857058823529412,0.0,0.584,0.0,0.00943396226,0.00943396226,0,182,0.2525563422497613,1978,1,12,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6437.207408915124,0.0,0.0,0.0,0.25,93.0,182.0,160.0,30.0,40.0,6.0,1.0,5.0,63.0,25.0,3.0,1.0,16.0,1.0,2.0,43.0,4.0,0.394,0.324,0.718,9.0,0.35,0.281,12.0,36.0,42.0,0.0,4.21,0.144,21.2,0.244,93.0,7.0,6.0,1.0,85.7,0.0,0.0,66.0,35.0,334.3333333333333,1.0,0.0,70.0,3.0,1.0,0.0,0.0,0.0,0.9857058823529412,0.0,0.584,0.00943396226,0.0,0.2525563422497613,2517.2980489654883
70224,강봉규,1996,2003,0.231,6,15,13,3,3,0,0,1,6,3,0,0,2,0,0,2,1,0.462,0.333,0.795,1,0.4,0.0,1,4,4,0,3.07,0.231,2.0,0.265,6,1,1,0,100.0,0,0,6,3,27.0,0,0,9,1,0,0,0,0,0.9629629629629628,0.0,0.116,0.0,0.0,0.00943396226,0,197,0.228538143953528,1978,1,12,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5523.637363932881,0.0,0.0,0.0,0.2405,49.5,98.5,86.5,16.5,21.5,3.0,0.5,3.0,34.5,14.0,1.5,0.5,9.0,0.5,1.0,22.5,2.5,0.42800000000000005,0.3285,0.7565,5.0,0.375,0.1405,6.5,20.0,23.0,0.0,3.6399999999999997,0.1875,11.6,0.2545,49.5,4.0,3.5,0.5,92.85,0.0,0.0,36.0,19.0,180.66666666666666,0.5,0.0,39.5,2.0,0.5,0.0,0.0,0.0,0.974334422657952,0.0,0.35,0.00471698113,0.0,0.24054724310164466,6437.207408915124
70224,강봉규,1996,2004,0.236,40,85,72,14,17,2,1,1,24,5,2,0,10,0,1,20,0,0.333,0.337,0.67,4,0.091,0.125,4,21,14,0,4.15,0.097,9.2,0.235,40,3,2,1,66.7,0,0,41,16,173.33333333333334,1,0,45,5,3,0,0,0,0.9798076923076924,0.0,0.274,0.0,0.0145985401,0.0240325024,0,282,0.4634743869213112,1978,1,12,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5375.554535719749,0.0,0.0,0.0,0.239,46.333333333333336,94.0,81.66666666666667,15.666666666666666,20.0,2.6666666666666665,0.6666666666666666,2.3333333333333335,31.0,11.0,1.6666666666666667,0.3333333333333333,9.333333333333334,0.3333333333333333,1.0,21.666666666666668,1.6666666666666667,0.39633333333333337,0.3313333333333333,0.7276666666666666,4.666666666666667,0.2803333333333333,0.13533333333333333,5.666666666666667,20.333333333333332,20.0,0.0,3.81,0.15733333333333333,10.799999999999999,0.248,46.333333333333336,3.6666666666666665,3.0,0.6666666666666666,84.13333333333333,0.0,0.0,37.666666666666664,18.0,178.2222222222222,0.6666666666666666,0.0,41.333333333333336,3.0,1.3333333333333333,0.0,0.0,0.0,0.976158845874532,0.0,0.32466666666666666,0.00801083412,0.0,0.3148562910415335,5980.422386424003
70224,강봉규,1996,2005,0.235,48,124,102,12,24,3,1,1,32,10,2,0,18,1,2,30,2,0.314,0.361,0.675,3,0.25,0.3,5,23,25,0,4.03,0.078,13.0,0.241,48,3,2,1,66.7,0,0,51,24,242.66666666666669,0,0,56,4,0,0,0,0,0.9876373626373628,0.0,0.322,0.0,0.00440528634,0.0284377887,0,406,0.2846390152669077,1978,1,12,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5257.724246278148,0.0,0.0,0.0,0.238,46.75,101.5,86.75,14.75,21.0,2.75,0.75,2.0,31.25,10.75,1.75,0.25,11.5,0.5,1.25,23.75,1.75,0.37575000000000003,0.33875,0.7144999999999999,4.25,0.27275,0.1765,5.5,21.0,21.25,0.0,3.865,0.13749999999999998,11.35,0.24625,46.75,3.5,2.75,0.75,79.77499999999999,0.0,0.0,41.0,19.5,194.33333333333331,0.5,0.0,45.0,3.25,1.0,0.0,0.0,0.0,0.9790284750652397,0.0,0.324,0.007109447175,0.0,0.307301972097877,5778.799769522585
70224,강봉규,1996,2006,0.234,87,145,128,16,30,6,1,4,50,16,1,2,13,0,1,33,2,0.391,0.306,0.697,3,0.233,0.267,11,36,31,0,3.94,0.156,16.1,0.235,87,7,4,3,57.1,0,0,72,31,284.6666666666667,1,0,85,2,0,0,0,0,0.9860655737704916,0.0,0.285,0.0,0.00708215297,0.0355199417,0,551,0.3542524421813478,1978,1,12,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6922.453942968323,0.0,0.0,0.0,0.2372,54.8,110.2,95.0,15.0,22.8,3.4,0.8,2.4,35.0,11.8,1.6,0.6,11.8,0.4,1.2,25.6,1.8,0.3788,0.3322,0.711,4.0,0.26480000000000004,0.1946,6.6,24.0,23.2,0.0,3.8800000000000003,0.1412,12.3,0.244,54.8,4.2,3.0,1.2,75.24,0.0,0.0,47.2,21.8,212.4,0.6,0.0,53.0,3.0,0.8,0.0,0.0,0.0,0.9804358948062901,0.0,0.3162,0.007103988334,0.0,0.3166920661145712,5648.530888711475
70224,강봉규,1996,2007,0.282,83,170,142,20,40,9,1,1,54,13,5,2,16,0,5,25,4,0.38,0.37,0.75,8,0.3,0.364,11,39,40,0,3.69,0.099,20.8,0.262,83,6,4,2,66.7,0,0,87,45,403.6666666666667,2,0,117,8,2,0,0,0,0.9802981007431874,0.0,0.843,0.0,0.040201005,0.0757209467,0,721,0.5295121818353495,1978,1,12,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7838.0092705537945,0.0,0.0,0.0,0.24359999999999998,52.8,107.8,91.4,13.0,22.8,4.0,0.8,1.6,33.2,9.4,2.0,0.8,11.8,0.2,1.8,22.0,1.8,0.376,0.34140000000000004,0.7174,3.8,0.2548,0.2112,6.4,24.6,22.8,0.0,3.776,0.1322,12.219999999999999,0.2476,52.8,4.0,2.6,1.4,71.44,0.0,0.0,51.4,23.8,226.2666666666667,0.8,0.0,62.4,4.0,1.0,0.0,0.0,0.0,0.9793543384843394,0.0,0.368,0.013257396882,0.0,0.3720832340316889,5903.315499562845
70224,강봉규,1996,2008,0.276,81,160,134,27,37,8,0,3,54,14,3,1,19,0,3,28,3,0.403,0.376,0.779,7,0.25,0.294,11,43,27,0,4.08,0.127,20.2,0.27,81,7,3,4,42.9,0,0,74,35,316.6666666666667,1,0,115,4,9,0,0,0,0.9968863157894736,0.0,0.813,0.0,0.0385700847,0.114291031,0,881,0.6877695785043221,1978,1,12,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7627.730294396962,0.0,0.0,0.0,0.2526,67.8,136.8,115.6,17.8,29.6,5.6,0.8,2.0,42.8,11.6,2.6,1.0,15.2,0.2,2.4,27.2,2.2,0.3642,0.35,0.7142000000000001,5.0,0.22479999999999997,0.27,8.4,32.4,27.4,0.0,3.978,0.11139999999999999,15.86,0.2486,67.8,5.2,3.0,2.2,60.019999999999996,0.0,0.0,65.0,30.2,284.20000000000005,1.0,0.0,83.6,4.6,2.8,0.0,0.0,0.0,0.9861390090496416,0.0,0.5074,0.020971413822,0.0,0.4639295209418477,6183.475871890579
70224,강봉규,1996,2009,0.31,126,529,449,89,139,24,2,20,227,78,6,1,69,2,4,61,15,0.506,0.405,0.911,37,0.274,0.333,46,137,113,0,4.0,0.196,88.6,0.309,126,23,20,3,87.0,0,0,145,107,895.6666666666666,4,0,302,19,11,0,0,0,0.9795649423148493,0.0,4.441,0.0,0.0802139037,0.194504935,0,1410,0.6469868560548091,1978,1,12,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16672.502224028292,0.0,0.0,0.0,0.26739999999999997,85.0,225.6,191.0,32.8,54.0,10.0,1.0,5.8,83.4,26.2,3.4,1.2,27.0,0.6,3.0,35.4,5.2,0.3988,0.3636,0.7624,11.6,0.26139999999999997,0.3116,16.8,55.6,47.2,0.0,3.9480000000000004,0.13119999999999998,31.74,0.26339999999999997,85.0,9.2,6.6,2.6,64.08,0.0,0.0,85.8,48.4,428.6666666666667,1.6,0.0,135.0,7.4,4.4,0.0,0.0,0.0,0.986090459051073,0.0,1.3408,0.034094486542,0.0,0.5006320147685474,6604.294457983395
70224,강봉규,1996,2010,0.237,89,279,232,38,55,12,0,4,79,26,4,1,40,0,2,44,8,0.341,0.353,0.694,12,0.25,0.1,16,81,53,0,4.11,0.103,30.9,0.244,89,8,8,0,100.0,0,0,89,60,539.3333333333334,4,0,183,13,11,0,0,0,0.9798380716934486,0.0,0.829,0.0,0.0335413417,0.228046277,0,1689,0.6599957169772541,1978,1,12,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12242.997561155864,0.0,0.0,0.0,0.2678,93.2,256.6,217.0,38.0,60.2,11.8,0.8,6.4,92.8,29.4,3.8,1.4,31.4,0.4,3.0,38.2,6.4,0.4042,0.362,0.7662,13.4,0.26139999999999997,0.2716,19.0,67.2,52.8,0.0,3.964,0.13620000000000002,35.32,0.264,93.2,10.2,7.8,2.4,70.74000000000001,0.0,0.0,93.4,55.6,488.0,2.4,0.0,160.4,9.2,6.6,0.0,0.0,0.0,0.98453060086229,0.0,1.4422,0.039921697614,0.0,0.5757033551106165,8863.683995645104
70224,강봉규,1996,2011,0.267,52,168,146,14,39,7,1,1,51,18,0,2,17,0,2,24,3,0.349,0.347,0.696,10,0.286,0.167,9,45,40,0,3.87,0.082,19.0,0.243,52,4,3,1,75.0,0,0,56,31,304.66666666666663,1,0,70,0,0,0,0,0,0.9866126914660832,0.0,0.58,1.0,0.0324675325,0.260513809,0,1857,0.0799195851316321,1978,1,12,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,24506.40052072033,1.0,0.0,0.0,0.2744,86.2,261.2,220.6,37.6,62.0,12.0,0.8,5.8,93.0,29.8,3.6,1.4,32.2,0.4,3.2,36.4,6.6,0.39580000000000004,0.3702,0.766,14.8,0.272,0.2516,18.6,69.0,54.6,0.0,3.95,0.1214,35.9,0.26559999999999995,86.2,9.6,7.6,2.0,74.32000000000001,0.0,0.0,90.2,55.6,492.0,2.4,0.0,157.4,8.8,6.6,0.0,0.0,0.0,0.9846400244014084,0.0,1.5011999999999999,0.04499877352,0.0,0.5208367837006733,10260.738658620647
