ID,선수명,데뷔년도,연도,평균자책점,경기,승리,패배,세이브,홀드,승률,이닝,피안타,홈런,볼넷,사구,삼진,실점,자책점,이닝당_출루허용률,완투,완봉,퀄리티스타트,블론세이브,타자수,투구수,피안타율,2루타,3루타,희생번트,희생플라이,고의4구,폭투,보크,선발,선발승,구원승,종료,세이브기회,터프세이브,병살타,땅볼,뜬공,인플레이타구타율,투구수/경기,투구수/이닝,9이닝당 삼진,9이닝당 볼넷,피출루율,피장타율,피OPS,경기(수비),선발경기(수비),수비이닝(수비),실책(수비),견제사(수비),자살(수비),보살(수비),병살(수비),수비율(수비),WAR,FA여부,뉴스개수(연도별정규화),뉴스개수(누적정규화),수상횟수,누적이닝,포지션 엔트로피,출생연도,출생월,출생일,나이,연봉,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SK,팀명_두산,팀명_롯데,팀명_삼성,팀명_우리/히어로즈/넥센/키움,팀명_한화,팀명_현대,1차FA여부,2차FA여부,4년평균평균자책점,4년평균경기,4년평균승리,4년평균패배,4년평균세이브,4년평균홀드,4년평균승률,4년평균이닝,4년평균피안타,4년평균홈런,4년평균볼넷,4년평균사구,4년평균삼진,4년평균실점,4년평균자책점,4년평균이닝당_출루허용률,4년평균완투,4년평균완봉,4년평균퀄리티스타트,4년평균블론세이브,4년평균타자수,4년평균투구수,4년평균피안타율,4년평균2루타,4년평균3루타,4년평균희생번트,4년평균희생플라이,4년평균고의4구,4년평균폭투,4년평균보크,4년평균선발,4년평균선발승,4년평균구원승,4년평균종료,4년평균세이브기회,4년평균터프세이브,4년평균병살타,4년평균땅볼,4년평균뜬공,4년평균인플레이타구타율,4년평균투구수/경기,4년평균투구수/이닝,4년평균9이닝당 삼진,4년평균9이닝당 볼넷,4년평균피출루율,4년평균피장타율,4년평균피OPS,4년평균경기(수비),4년평균선발경기(수비),4년평균수비이닝(수비),4년평균실책(수비),4년평균견제사(수비),4년평균자살(수비),4년평균보살(수비),4년평균병살(수비),4년평균수비율(수비),4년평균WAR,4년평균뉴스개수(연도별정규화),4년평균수상횟수,4년평균포지션 엔트로피,4년평균연봉
67588,윤성빈,2017,2018,6.39,18,2,5,0,0,0.286,50.66666666666666,51,5,36,3,65,36,36,1.72,0,0,1,0,235,1010,0.264,12,0,2,1,0,5,0,10,1,1,2,0,0,4,32,46,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18,10,50.66666666666666,0,0,2,3,0,1.0,0.389,0.0,0.131754256,0.131754256,0,50.66666666666666,0.0,1999,2,26,20,2714.678111587983,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,6.39,18.0,2.0,5.0,0.0,0.0,0.286,50.66666666666666,51.0,5.0,36.0,3.0,65.0,36.0,36.0,1.72,0.0,0.0,1.0,0.0,235.0,1010.0,0.264,12.0,0.0,2.0,1.0,0.0,5.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,4.0,32.0,46.0,0.371,56.1,19.9,11.55,6.39,0.386,0.404,0.79,18.0,10.0,50.66666666666666,0.0,0.0,2.0,3.0,0.0,1.0,0.389,0.131754256,0.0,0.0,2725.074198180948
77829,김광현,2007,2007,3.62,20,3,7,0,0,0.3,77.0,80,5,41,4,52,35,31,1.57,0,0,5,0,342,1324,0.284,8,0,10,5,2,2,0,13,3,0,3,0,0,13,76,79,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20,13,77.0,0,0,3,10,1,1.0,1.244,0.0,0.48125937,0.48125937,0,77.0,0.0,1988,7,22,20,4898.7557940961215,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.62,20.0,3.0,7.0,0.0,0.0,0.3,77.0,80.0,5.0,41.0,4.0,52.0,35.0,31.0,1.57,0.0,0.0,5.0,0.0,342.0,1324.0,0.284,8.0,0.0,10.0,5.0,2.0,2.0,0.0,13.0,3.0,0.0,3.0,0.0,0.0,13.0,76.0,79.0,0.326,66.2,17.2,6.08,4.79,0.377,0.365,0.742,20.0,13.0,77.0,0.0,0.0,3.0,10.0,1.0,1.0,1.244,0.48125937,0.0,0.0,2563.8718307290087
77829,김광현,2007,2008,2.39,27,16,4,0,0,0.8,162.0,127,9,63,2,150,50,43,1.17,1,1,18,0,659,2538,0.218,13,0,11,0,1,3,0,27,16,0,1,0,0,14,168,138,0.278,94.0,15.7,8.33,3.5,0.296,0.286,0.582,27,27,162.0,5,0,7,28,0,0.875,5.427,0.0,1.0,1.48125937,2,239.0,0.0,1988,7,22,21,15493.827160493827,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.005,23.5,9.5,5.5,0.0,0.0,0.55,119.5,103.5,7.0,52.0,3.0,101.0,42.5,37.0,1.37,0.5,0.5,11.5,0.0,500.5,1931.0,0.251,10.5,0.0,10.5,2.5,1.5,2.5,0.0,20.0,9.5,0.0,2.0,0.0,0.0,13.5,122.0,108.5,0.30200000000000005,80.1,16.45,7.205,4.145,0.3365,0.3255,0.6619999999999999,23.5,20.0,119.5,2.5,0.0,5.0,19.0,0.5,0.9375,3.3354999999999997,0.740629685,1.0,0.0,4898.7557940961215
77829,김광현,2007,2009,2.8,21,12,2,0,0,0.857,138.33333333333334,121,14,53,4,112,46,43,1.26,1,0,16,0,568,2199,0.239,11,2,4,0,1,8,0,21,12,0,1,0,0,17,138,136,0.281,104.7,15.9,7.29,3.45,0.316,0.351,0.667,21,21,138.33333333333334,0,0,6,16,0,1.0,4.623,0.0,1.0,2.48125937,0,377.33333333333337,0.0,1988,7,22,22,20261.72145281216,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.936666666666666,22.666666666666668,10.333333333333334,4.333333333333333,0.0,0.0,0.6523333333333333,125.77777777777779,109.33333333333333,9.333333333333334,52.333333333333336,3.3333333333333335,104.66666666666667,43.666666666666664,39.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,13.0,0.0,523.0,2020.3333333333333,0.247,10.666666666666666,0.6666666666666666,8.333333333333334,1.6666666666666667,1.3333333333333333,4.333333333333333,0.0,20.333333333333332,10.333333333333334,0.0,1.6666666666666667,0.0,0.0,14.666666666666666,127.33333333333333,117.66666666666667,0.29500000000000004,88.3,16.266666666666666,7.233333333333333,3.9133333333333327,0.3296666666666667,0.334,0.6636666666666666,22.666666666666668,20.333333333333332,125.77777777777779,1.6666666666666667,0.0,5.333333333333333,18.0,0.3333333333333333,0.9583333333333334,3.764666666666667,0.8270864566666667,0.6666666666666666,0.0,10196.291477294973
77829,김광현,2007,2010,2.37,31,17,7,0,0,0.708,193.66666666666663,153,13,84,5,183,56,51,1.22,2,1,20,0,797,3129,0.221,22,1,14,1,1,13,0,30,16,1,2,0,0,19,230,128,0.281,100.9,16.2,8.5,3.9,0.309,0.312,0.621,31,30,193.66666666666663,3,1,6,26,2,0.914,7.12,0.0,0.765469824,3.246729194,0,571.0,0.0,1988,7,22,23,30050.99401374621,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2.795,24.75,12.0,5.0,0.0,0.0,0.66625,142.75,120.25,10.25,60.25,3.75,124.25,46.75,42.0,1.305,1.0,0.5,14.75,0.0,591.5,2297.5,0.2405,13.5,0.75,9.75,1.5,1.25,6.5,0.0,22.75,11.75,0.25,1.75,0.0,0.0,15.75,153.0,120.25,0.29150000000000004,91.44999999999999,16.25,7.55,3.9099999999999997,0.3245,0.3285,0.653,24.75,22.75,142.75,2.0,0.25,5.5,20.0,0.75,0.94725,4.6035,0.8116822985000001,0.5,0.0,13551.434802467367
77829,김광현,2007,2011,4.84,17,4,6,0,0,0.4,74.33333333333333,70,6,45,2,61,45,40,1.55,1,0,5,0,328,1317,0.253,9,2,3,1,0,3,0,14,4,0,3,0,0,6,83,64,0.303,77.5,17.7,7.39,5.45,0.36,0.365,0.725,17,14,74.0,0,0,6,7,1,1.0,0.736,0.0,1.0,4.246729194,0,645.3333333333334,0.0,1988,7,22,24,27229.33391191148,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.0999999999999996,24.0,12.25,4.75,0.0,0.0,0.69125,142.08333333333334,117.75,10.5,61.25,3.25,126.5,49.25,44.25,1.2999999999999998,1.25,0.5,14.75,0.0,588.0,2295.75,0.23274999999999998,13.75,1.25,8.0,0.5,0.75,6.75,0.0,23.0,12.0,0.25,1.75,0.0,0.0,14.0,154.75,116.5,0.28575,94.275,16.375,7.8775,4.075,0.32025000000000003,0.3285,0.64875,24.0,23.0,142.0,2.0,0.25,6.25,19.25,0.75,0.94725,4.476500000000001,0.941367456,0.5,0.0,17676.324605287078
77829,김광현,2007,2012,4.3,16,8,5,0,0,0.615,81.66666666666667,85,9,36,2,65,44,39,1.48,0,0,4,0,347,1322,0.287,15,2,7,6,0,2,1,16,8,0,0,0,0,12,78,74,0.333,82.6,16.2,7.16,3.97,0.362,0.443,0.805,16,16,81.66666666666667,0,1,5,13,0,1.0,0.7,0.0,0.385450955,4.632180149,0,727.0,0.0,1988,7,22,25,25804.503916449084,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.5774999999999997,21.25,10.25,5.0,0.0,0.0,0.645,122.0,107.25,10.5,54.5,3.25,105.25,47.75,43.25,1.3775,1.0,0.25,11.25,0.0,510.0,1991.75,0.25,14.25,1.75,7.0,2.0,0.5,6.5,0.25,20.25,10.0,0.25,1.5,0.0,0.0,13.5,132.25,100.5,0.2995,91.42500000000001,16.5,7.585,4.1925,0.33675,0.36775,0.7045,21.25,20.25,121.91666666666667,0.75,0.5,5.75,15.5,0.75,0.9785,3.29475,0.7877301947500001,0.0,0.0,23258.96913474092
77829,김광현,2007,2013,4.47,25,10,9,0,0,0.526,133.0,128,12,68,4,102,72,66,1.47,0,0,9,1,580,2273,0.259,31,3,7,7,0,9,1,22,10,0,2,1,0,17,144,127,0.3,90.9,17.1,6.9,4.6,0.349,0.407,0.756,25,22,133.0,0,0,9,19,1,1.0,1.853,0.0,0.496232508,5.128412657,0,860.0,0.0,1988,7,22,26,28664.625672218976,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.995,22.25,9.75,6.75,0.0,0.0,0.56225,120.66666666666666,109.0,10.0,58.25,3.25,102.75,54.25,49.0,1.43,0.75,0.25,9.5,0.25,513.0,2010.25,0.255,19.25,2.0,7.75,3.75,0.25,6.75,0.5,20.5,9.5,0.25,1.75,0.25,0.0,13.5,133.75,98.25,0.30425,87.975,16.799999999999997,7.487500000000001,4.48,0.34500000000000003,0.38175000000000003,0.72675,22.25,20.5,120.58333333333333,0.75,0.5,6.5,16.25,1.0,0.9785,2.6022499999999997,0.6617883217499999,0.0,0.0,25836.638323729734
77829,김광현,2007,2014,3.42,28,13,9,0,0,0.591,173.66666666666666,178,10,81,3,145,77,66,1.49,1,0,15,0,749,3009,0.274,36,4,12,3,1,9,1,28,13,0,1,0,0,21,184,146,0.337,107.5,17.3,7.51,4.2,0.355,0.388,0.743,28,28,173.66666666666666,1,0,8,24,1,0.97,5.2,0.0,1.0,6.128412657,0,1033.6666666666667,0.0,1988,7,22,27,89607.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,4.2575,21.5,8.75,7.25,0.0,0.0,0.533,115.66666666666666,115.25,9.25,57.5,2.75,93.25,59.5,52.75,1.4975,0.5,0.0,8.25,0.25,501.0,1980.25,0.26825,22.75,2.75,7.25,4.25,0.25,5.75,0.75,20.0,8.75,0.0,1.5,0.25,0.0,14.0,122.25,102.75,0.31825,89.625,17.075,7.24,4.555,0.3565,0.40075000000000005,0.75725,21.5,20.0,115.58333333333334,0.25,0.25,7.0,15.75,0.75,0.9924999999999999,2.12225,0.72042086575,0.0,0.0,27937.36437858144
77829,김광현,2007,2015,3.72,30,14,6,0,1,0.7,176.66666666666666,173,19,66,3,160,86,73,1.35,1,1,16,0,754,2896,0.257,33,0,11,2,2,10,0,29,14,0,1,1,0,18,216,125,0.311,96.5,16.4,8.15,3.36,0.326,0.391,0.717,30,29,176.66666666666666,2,1,12,30,1,0.9549999999999998,3.957,0.0,0.99592668,7.124339337,0,1210.3333333333337,0.0,1988,7,22,28,88746.16222640389,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,3.9775,24.75,11.25,7.25,0.0,0.25,0.608,141.25,141.0,12.5,62.75,3.0,118.0,69.75,61.0,1.4475000000000002,0.5,0.25,11.0,0.25,607.5,2375.0,0.26925,28.75,2.25,9.25,4.5,0.75,7.5,0.75,23.75,11.25,0.0,1.0,0.5,0.0,17.0,155.5,118.0,0.32025,94.375,16.75,7.43,4.0325,0.348,0.40725,0.75525,24.75,23.75,141.25,0.75,0.5,8.5,21.5,0.75,0.98125,2.9275,0.71940253575,0.0,0.0,42826.36587514488
